Month,Price_rs,Change,Price_dollar_rubber,Change_dollar,Rubber_type,Year
 April, 17067.00,1745, 227.55,23.25,RSS1,2010
 May, 16633.00,-434, 221.75,-5.8,RSS1,2010
 June, 17659.00,1026, 235.45,13.7,RSS1,2010
 July, 18863.00,1204, 251.51,16.06,RSS1,2010
 August, 18661.00,-202, 248.80,-2.71,RSS1,2010
 September, 17359.00,-1302, 231.45,-17.35,RSS1,2010
 October, 18673.00,1314, 248.95,17.5,RSS1,2010
 November, 20436.00,1763, 272.50,23.55,RSS1,2010
 December, 20852.00,416, 278.00,5.5,RSS1,2010
 January, 9780.00,-499, 130.40,-6.65,RSS4,2016
 February, 9355.00,-425, 124.75,-5.65,RSS4,2016
 March, 10812.00,1457, 144.15,19.4,RSS4,2016
 April, 13062.00,2250, 174.15,30,RSS4,2016
 May, 13076.00,14, 174.35,0.2,RSS4,2016
 June, 13375.00,299, 178.35,4,RSS4,2016
 July, 14177.00,802, 189.05,10.7,RSS4,2016
 August, 13850.00,-327, 184.65,-4.4,RSS4,2016
 September, 12142.00,-1708, 161.90,-22.75,RSS4,2016
 October, 11692.00,-450, 155.90,-6,RSS4,2016
 November, 12214.00,522, 162.85,6.95,RSS4,2016
 December, 13370.00,1156, 178.25,15.4,RSS4,2016
 January, 12753.00,873, 170.05,11.65,RSS4,2015
 February, 13744.00,991, 183.25,13.2,RSS4,2015
 March, 13476.00,-268, 179.70,-3.55,RSS4,2015
 April, 12058.00,-1418, 160.75,-18.95,RSS4,2015
 May, 12510.00,452, 166.80,6,RSS4,2015
 June, 13098.00,588, 174.65,7.85,RSS4,2015
 July, 12537.00,-561, 167.15,-7.5,RSS4,2015
 August, 11665.00,-872, 155.55,-11.6,RSS4,2015
 September, 11218.00,-447, 149.55,-6,RSS4,2015
 October, 11410.00,192, 152.15,2.6,RSS4,2015
 November, 10954.00,-456, 146.05,-6.1,RSS4,2015
 December, 10279.00,-675, 137.05,-9,RSS4,2015
 January, 15342.00,-121, 204.55,-1.6,RSS4,2014
 February, 14702.00,-640, 196.05,-8.5,RSS4,2014
 March, 14798.00,96, 197.30,1.25,RSS4,2014
 April, 14405.00,-393, 192.05,-5.25,RSS4,2014
 May, 14300.00,-105, 190.65,-1.4,RSS4,2014
 June, 14550.00,250, 194.00,3.35,RSS4,2014
 July, 14148.00,-402, 188.65,-5.35,RSS4,2014
 August, 13291.00,-857, 177.20,-11.45,RSS4,2014
 September, 12339.00,-952, 164.50,-12.7,RSS4,2014
 October, 12315.00,-24, 164.20,-0.3,RSS4,2014
 November, 11865.00,-450, 158.20,-6,RSS4,2014
 December, 11880.00,15, 158.40,0.2,RSS4,2014
 January, 16159.00,-13, 215.45,-0.15,RSS4,2013
 February, 15695.00,-464, 209.25,-6.2,RSS4,2013
 March, 16254.00,559, 216.70,7.45,RSS4,2013
 April, 16250.00,-4, 216.65,-0.05,RSS4,2013
 May, 16875.00,625, 225.00,8.35,RSS4,2013
 June, 17404.00,529, 232.05,7.05,RSS4,2013
 July, 19150.00,1746, 255.35,23.3,RSS4,2013
 August, 19033.00,-117, 253.75,-1.6,RSS4,2013
 September, 18365.00,-668, 244.85,-8.95,RSS4,2013
 October, 16349.00,-2016, 218.00,-26.85,RSS4,2013
 November, 15630.00,-719, 208.40,-9.6,RSS4,2013
 December, 15463.00,-167, 206.15,-2.25,RSS4,2013
 January, 19080.00,-970, 254.40,-12.95,RSS4,2012
 February, 18756.00,-324, 250.10,-4.3,RSS4,2012
 March, 19292.00,536, 257.25,7.15,RSS4,2012
 April, 19669.00,377, 262.25,5,RSS4,2012
 May, 19419.00,-250, 258.90,-3.35,RSS4,2012
 June, 18797.00,-622, 250.65,-8.25,RSS4,2012
 July, 18427.00,-370, 245.70,-4.9,RSS4,2012
 August, 17291.00,-1136, 230.55,-15.15,RSS4,2012
 September, 18470.00,1179, 246.25,15.7,RSS4,2012
 October, 18554.00,84, 247.40,1.15,RSS4,2012
 November, 17274.00,-1280, 230.30,-17.1,RSS4,2012
 December, 16172.00,-1102, 215.65,-14.65,RSS4,2012
 January, 22193.00,2031, 295.90,27.05,RSS4,2011
 February, 23378.00,1185, 311.71,15.81,RSS4,2011
 March, 21894.00,-1484, 291.90,-19.81,RSS4,2011
 April, 23875.00,1981, 318.35,26.45,RSS4,2011
 May, 22521.00,-1354, 300.25,-18.1,RSS4,2011
 June, 22274.00,-247, 297.00,-3.25,RSS4,2011
 July, 21293.00,-981, 283.90,-13.1,RSS4,2011
 August, 20400.00,-893, 272.00,-11.9,RSS4,2011
 September, 21508.00,1108, 286.75,14.75,RSS4,2011
 October, 21191.00,-317, 282.55,-4.2,RSS4,2011
 November, 19454.00,-1737, 259.40,-23.15,RSS4,2011
 December, 20050.00,596, 267.35,7.95,RSS4,2011
 January, 13816.00,363, 184.20,4.8,RSS4,2010
 February, 13707.00,-109, 182.75,-1.45,RSS4,2010
 March, 14917.00,1210, 198.90,16.15,RSS4,2010
 April, 16411.00,1494, 218.80,19.9,RSS4,2010
